"";"Name";"ISIN Code";"Sektor";"Jahr";"Index";"fkq";"lfk";"kfk";"uw";"lngroesse";"sach";"ebit";"ndts";"steuer";"beta";"BIP";"ZS";"INFL";"MP"
"137";"CANCOM (XET)";NA;"Computer Services";2009;NA;0,1412;0,1358;0,0053;0,2225;12,95;0,0493;0,0538;0,0253;0,078;0,49;-5,57;1,99;0,3;0,1979
"138";"CANCOM (XET)";NA;"Computer Services";2010;NA;0,1447;0,1356;0,0091;0,3002;13,22;0,0548;0,0778;0,0238;0,2721;0,69;3,95;1,93;1,1;0,1606
"139";"CANCOM (XET)";NA;"Computer Services";2011;NA;0,12;0,0729;0,0471;-0,0089;13,21;0,0664;0,0985;0,0351;0,2547;0,9;3,72;1,22;2,1;-0,1511
"140";"CANCOM (XET)";NA;"Computer Services";2012;"TecDAX";0,0579;0,0516;0,0063;0,0252;13,23;0,0846;0,1012;0,0357;0,3147;0,59;0,69;0,93;2;0,2566
"141";"CANCOM (XET)";NA;"Computer Services";2013;"TecDAX";0,036;0,0336;0,0024;0,0998;13,33;0,0641;0,0713;0,0336;0,3044;1,43;0,59;1,35;1,5;0,2331
"142";"CANCOM (XET)";NA;"Computer Services";2014;"TecDAX";0,1176;0,1091;0,0086;0,3504;13,63;0,0872;0,0679;0,0529;0,3092;1,33;1,6;0,95;0,9;0,0516
"143";"CANCOM (XET)";NA;"Computer Services";2015;"TecDAX";0,1148;0,1115;0,0032;0,1254;13,75;0,0936;0,101;0,0511;0,248;0,51;1,48;0,52;0,3;0,0986
"144";"CARL ZEISS MEDITEC (XET)";"DE0005313704";"Medical Equipment";2005;NA;0,1493;0,1449;0,0044;0,378;12,69;0,0847;0,1081;0,0255;0,3554;0,94;0,88;1,17;1,6;0,253
"145";"CARL ZEISS MEDITEC (XET)";NA;"Medical Equipment";2006;NA;0,1342;0,1283;0,0059;0,2067;12,88;0,0808;0,1324;0,0291;0,3241;1,04;3,87;0,68;1,5;0,1916
"146";"CARL ZEISS MEDITEC (XET)";NA;"Medical Equipment";2007;"TecDAX";0,0667;0,0491;0,0176;0,4587;13,25;0,0472;0,1236;0,0177;0,3208;0,6;3,38;-0,06;2,3;0,2236
"147";"CARL ZEISS MEDITEC (XET)";NA;"Medical Equipment";2008;"TecDAX";0,0604;0,0544;0,006;0,0535;13,31;0,056;0,1188;0,0186;0,2393;0,39;0,82;-0,65;2,6;-0,4072
"148";"CARL ZEISS MEDITEC (XET)";NA;"Medical Equipment";2009;"TecDAX";0,0535;0,0363;0,0172;0,0665;13,37;0,0585;0,1137;0,0227;0,2865;0;-5,57;1,99;0,3;0,1979
"149";"CARL ZEISS MEDITEC (XET)";NA;"Medical Equipment";2010;"TecDAX";0,0387;0,0322;0,0065;0,0572;13,42;0,0499;0,1078;0,0262;0,2707;0,49;3,95;1,93;1,1;0,1606
"150";"CARL ZEISS MEDITEC (XET)";NA;"Medical Equipment";2011;"TecDAX";0,0389;0,0293;0,0096;0,1213;13,54;0,0493;0,1279;0,023;0,2721;0,45;3,72;1,22;2,1;-0,1511
"151";"CARL ZEISS MEDITEC (XET)";NA;"Medical Equipment";2012;"TecDAX";0,0338;0,0183;0,0155;0,1358;13,67;0,0529;0,13;0,0195;0,3341;-0,19;0,69;0,93;2;0,2566
"152";"CARL ZEISS MEDITEC (XET)";NA;"Medical Equipment";2013;"TecDAX";0,0201;0,0147;0,0054;0,0517;13,72;0,0581;0,1612;0,02;0,3212;0,4;0,59;1,35;1,5;0,2331
"153";"CARL ZEISS MEDITEC (XET)";NA;"Medical Equipment";2014;"TecDAX";0,0291;0,0123;0,0167;0,0031;13,72;0,0668;0,1197;0,0184;0,3036;0,78;1,6;0,95;0,9;0,0516
"154";"CARL ZEISS MEDITEC (XET)";NA;"Medical Equipment";2015;"TecDAX";0,0153;0,0092;0,0061;0,1439;13,85;0,0632;0,0968;0,018;0,3503;0,48;1,48;0,52;0,3;0,0986
"155";"COMPUGROUP MEDICAL (XET)";"DE0005437305";"Software";2005;NA;0,3052;0,2051;0,1001;0,3265;11,66;0,0914;0,1977;0,0941;0,3445;0,43;0,88;1,17;1,6;0,253
"156";"COMPUGROUP MEDICAL (XET)";NA;"Software";2006;NA;0,4049;0,3085;0,0963;0,2083;11,85;0,0714;0,1055;0,0747;0,3771;0,01;3,87;0,68;1,5;0,1916
"157";"COMPUGROUP MEDICAL (XET)";NA;"Software";2007;NA;0,0226;0,0119;0,0107;0,286;12,1;0,0656;0,1087;0,0856;0,0062;1,02;3,38;-0,06;2,3;0,2236
"158";"COMPUGROUP MEDICAL (XET)";NA;"Software";2008;NA;0,3132;0,0277;0,2855;0,2719;12,34;0,0673;0,0329;0,0869;0,4305;0,51;0,82;-0,65;2,6;-0,4072
"159";"COMPUGROUP MEDICAL (XET)";NA;"Software";2009;NA;0,3376;0,2558;0,0818;0,2802;12,59;0,0828;0,0569;0,0777;0,262;0,24;-5,57;1,99;0,3;0,1979
"160";"COMPUGROUP MEDICAL (XET)";NA;"Software";2010;NA;0,4007;0,3518;0,0489;0,0646;12,65;0,071;0,0611;0,0617;0,2914;0,06;3,95;1,93;1,1;0,1606
"161";"COMPUGROUP MEDICAL (XET)";NA;"Software";2011;NA;0,4301;0,3734;0,0566;0,2695;12,89;0,0791;0,0574;0,0574;0,4369;0,41;3,72;1,22;2,1;-0,1511
"162";"COMPUGROUP MEDICAL (XET)";NA;"Software";2012;NA;0,42;0,3476;0,0724;0,1362;13,02;0,093;0,0969;0,063;0,2861;0,22;0,69;0,93;2;0,2566
"163";"COMPUGROUP MEDICAL (XET)";NA;"Software";2013;"TecDAX";0,4732;0,4093;0,0638;0,0199;13,04;0,0894;0,0706;0,06;0,2705;0,25;0,59;1,35;1,5;0,2331
"164";"COMPUGROUP MEDICAL (XET)";NA;"Software";2014;"TecDAX";0,4872;0,4599;0,0273;0,1209;13,15;0,0845;0,0802;0,0583;0,3456;0,8;1,6;0,95;0,9;0,0516
"165";"COMPUGROUP MEDICAL (XET)";NA;"Software";2015;"TecDAX";0,4505;0,397;0,0535;0,0543;13,2;0,0771;0,0929;0,0551;0,3237;0,76;1,48;0,52;0,3;0,0986
"166";"CONTINENTAL (XET)";"DE0005439004";"Tires";2005;"DAX";0,176;0,0901;0,0858;0,0984;16,44;0,3126;0,1483;0,0607;0,2906;1,09;0,88;1,17;1,6;0,253
"167";"CONTINENTAL (XET)";NA;"Tires";2006;"DAX";0,1666;0,101;0,0656;0,0759;16,52;0,3295;0,1502;0,0617;0,3023;1,11;3,87;0,68;1,5;0,1916
"168";"CONTINENTAL (XET)";NA;"Tires";2007;"DAX";0,4757;0,3577;0,1179;0,1164;16,63;0,2173;0,0624;0,0285;0,2739;1,07;3,38;-0,06;2,3;0,2236
"169";"CONTINENTAL (XET)";NA;"Tires";2008;"MDAX";0,491;0,3944;0,0966;0,4585;17;0,2517;-0,0131;0,071;0;0,84;0,82;-0,65;2,6;-0,4072
"170";"CONTINENTAL (XET)";NA;"Tires";2009;"MDAX";0,4707;0,2583;0,2124;-0,1709;16,82;0,2589;-0,0449;0,0733;0,1537;1,75;-5,57;1,99;0,3;0,1979
"171";"CONTINENTAL (XET)";NA;"Tires";2010;"MDAX";0,3696;0,3175;0,0521;0,2961;17,08;0,2569;0,0838;0,0671;0,2974;1,32;3,95;1,93;1,1;0,1606
"172";"CONTINENTAL (XET)";NA;"Tires";2011;"MDAX";0,336;0,2373;0,0987;0,1712;17,23;0,2594;0,0987;0,0632;0,2131;1,32;3,72;1,22;2,1;-0,1511
"173";"CONTINENTAL (XET)";NA;"Tires";2012;"DAX";0,309;0,1565;0,1525;0,0731;17,3;0,2768;0,1207;0,0648;0,2168;1,33;0,69;0,93;2;0,2566
"174";"CONTINENTAL (XET)";NA;"Tires";2013;"DAX";0,2447;0,1836;0,0611;0,0182;17,32;0,2985;0,1136;0,0658;0,1528;1,17;0,59;1,35;1,5;0,2331
"175";"CONTINENTAL (XET)";NA;"Tires";2014;"DAX";0,2149;0,1684;0,0465;0,0352;17,36;0,2946;0,115;0,0561;0,1887;1,19;1,6;0,95;0,9;0,0516
"176";"CONTINENTAL (XET)";NA;"Tires";2015;"DAX";0,1615;0,0954;0,066;0,137;17,49;0,3061;0,1458;0,0575;0,24;1,11;1,48;0,52;0,3;0,0986
"177";"CTS EVENTIM (XET)";"DE0005470306";"Business Support Svs.";2005;"SDAX";0,0144;0,0034;0,011;0,1501;12,45;0,0176;0,1508;0,0204;0,3835;0,2;0,88;1,17;1,6;0,253
"178";"CTS EVENTIM (XET)";NA;"Business Support Svs.";2006;"SDAX";0,0187;0;0,0187;0,3386;12,75;0,0204;0,1774;0,0233;0,4045;0,7;3,87;0,68;1,5;0,1916
"179";"CTS EVENTIM (XET)";NA;"Business Support Svs.";2007;"SDAX";0,0731;0,0636;0,0094;0,1209;12,86;0,025;0,1617;0,0229;0,3925;0,74;3,38;-0,06;2,3;0,2236
"180";"CTS EVENTIM (XET)";NA;"Business Support Svs.";2008;"SDAX";0,0223;0,0206;0,0016;0,052;12,91;0,0227;0,1342;0,0187;0,3296;0,61;0,82;-0,65;2,6;-0,4072
"181";"CTS EVENTIM (XET)";NA;"Business Support Svs.";2009;"SDAX";0,072;0,0173;0,0548;0,1542;13,05;0,0244;0,1559;0,0189;0,3246;0,11;-5,57;1,99;0,3;0,1979
"182";"CTS EVENTIM (XET)";NA;"Business Support Svs.";2010;"SDAX";0,3162;0,3059;0,0103;0,1133;13,16;0,0235;0,1094;0,0267;0,2751;0,59;3,95;1,93;1,1;0,1606
"183";"CTS EVENTIM (XET)";NA;"Business Support Svs.";2011;"SDAX";0,2891;0,254;0,0351;-0,0323;13,13;0,0205;0,104;0,0318;0,2856;0,61;3,72;1,22;2,1;-0,1511
"184";"CTS EVENTIM (XET)";NA;"Business Support Svs.";2012;"SDAX";0,2555;0,1976;0,0579;0,0348;13,16;0,0164;0,1173;0,0282;0,2859;0,3;0,69;0,93;2;0,2566
"185";"CTS EVENTIM (XET)";NA;"Business Support Svs.";2013;"SDAX";0,2247;0,1849;0,0398;0,2076;13,35;0,0153;0,1267;0,0265;0,3173;0,48;0,59;1,35;1,5;0,2331
"186";"CTS EVENTIM (XET)";NA;"Business Support Svs.";2014;"SDAX";0,1588;0,0897;0,0691;0,0986;13,44;0,0202;0,1164;0,026;0,2866;0,79;1,6;0,95;0,9;0,0516
"187";"CTS EVENTIM (XET)";NA;"Business Support Svs.";2015;"MDAX";0,1373;0,122;0,0153;0,2085;13,63;0,0189;0,1381;0,0279;0,2987;0,65;1,48;0,52;0,3;0,0986
"188";"DAIMLER (XET)";"DE0007100000";"Automobiles";2005;"DAX";0,4069;0,2235;0,1834;0,0543;18,82;0,3568;0,0229;0,0607;0,1127;0,96;0,88;1,17;1,6;0,253
"189";"DAIMLER (XET)";NA;"Automobiles";2006;"DAX";0,419;0,2343;0,1847;0,0123;18,84;0,3787;0,0262;0,0726;0,1439;1,03;3,87;0,68;1,5;0,1916
"190";"DAIMLER (XET)";NA;"Automobiles";2007;"DAX";0,4126;0,2392;0,1734;-0,3444;18,41;0,2574;0,0725;0,0677;0,4478;1,15;3,38;-0,06;2,3;0,2236
"191";"DAIMLER (XET)";NA;"Automobiles";2008;"DAX";0,4532;0,2412;0,212;-0,0355;18,38;0,2686;0,0269;0,0508;0,3139;1,44;0,82;-0,65;2,6;-0,4072
"192";"DAIMLER (XET)";NA;"Automobiles";2009;"DAX";0,4605;0,2627;0,1978;-0,1768;18,18;0,2725;-0,0105;0,053;0;1,57;-5,57;1,99;0,3;0,1979
"193";"DAIMLER (XET)";NA;"Automobiles";2010;"DAX";0,403;0,2091;0,1938;0,2387;18,4;0,2816;0,0532;0,0508;0,2757;1,28;3,95;1,93;1,1;0,1606
"194";"DAIMLER (XET)";NA;"Automobiles";2011;"DAX";0,4277;0,244;0,1837;0,0898;18,48;0,2889;0,0597;0,0478;0,2788;1,28;3,72;1,22;2,1;-0,1511
"195";"DAIMLER (XET)";NA;"Automobiles";2012;"DAX";0,4745;0,2697;0,2048;0,0728;18,55;0,2903;0,0517;0,049;0,1472;1,28;0,69;0,93;2;0,2566
"196";"DAIMLER (XET)";NA;"Automobiles";2013;"DAX";0,4664;0,2684;0,1979;0,0322;18,59;0,2996;0,064;0,0262;0,133;1,2;0,59;1,35;1,5;0,2331
"197";"DAIMLER (XET)";NA;"Automobiles";2014;"DAX";0,4673;0,2717;0,1956;0,1008;18,68;0,3031;0,0568;0,027;0,2736;1,22;1,6;0,95;0,9;0,0516
"198";"DAIMLER (XET)";NA;"Automobiles";2015;"DAX";0,4729;0,2797;0,1931;0,1509;18,82;0,2958;0,061;0,0252;0,309;1,23;1,48;0,52;0,3;0,0986
"199";"DEUTSCHE BOERSE";"DE000A2AA253";"Investment Services";2005;"DAX";0,1567;0,0152;0,1416;0,1434;14,37;0,0104;0,0228;0,0045;0,3535;0,68;0,88;1,17;1,6;0,253
"200";"DEUTSCHE BOERSE";NA;"Investment Services";2006;"DAX";0,1012;0,0077;0,0935;0,1485;14,51;0,0036;0,0168;0,0019;0,3302;0,9;3,87;0,68;1,5;0,1916
"201";"DEUTSCHE BOERSE";NA;"Investment Services";2007;"DAX";0,138;0;0,1379;0,205;14,7;0,0012;0,0185;0,0015;0,2988;0,08;3,38;-0,06;2,3;0,2236
"202";"DEUTSCHE BOERSE";NA;"Investment Services";2008;"DAX";0,066;0,0104;0,0556;0,1142;14,81;7e-04;0,0119;9e-04;0,2405;0,98;0,82;-0,65;2,6;-0,4072
"203";"DEUTSCHE BOERSE";NA;"Investment Services";2009;"DAX";0,0548;0,0094;0,0454;-0,1979;14,59;6e-04;0,0042;8e-04;0,127;1,17;-5,57;1,99;0,3;0,1979
"204";"DEUTSCHE BOERSE";NA;"Investment Services";2010;"DAX";0,0625;0,0098;0,0527;0,0031;14,59;9e-04;0,0035;8e-04;0,0467;1,08;3,95;1,93;1,1;0,1606
"205";"DEUTSCHE BOERSE";NA;"Investment Services";2011;"DAX";0,0717;0,0067;0,065;0,0312;14,62;6e-04;0,0062;4e-04;0,208;0,54;3,72;1,22;2,1;-0,1511
"206";"DEUTSCHE BOERSE";NA;"Investment Services";2012;"DAX";0,0648;0,0054;0,0594;-0,0109;14,61;6e-04;0,0045;5e-04;0,1719;0,84;0,69;0,93;2;0,2566
"207";"DEUTSCHE BOERSE";NA;"Investment Services";2013;"DAX";0,0593;0,008;0,0513;0,0035;14,61;6e-04;0,0039;6e-04;0,2353;0,84;0,59;1,35;1,5;0,2331
"208";"DEUTSCHE BOERSE";NA;"Investment Services";2014;"DAX";0,0599;0,0066;0,0532;0,0843;14,69;5e-04;0,0047;6e-04;0,1721;0,74;1,6;0,95;0,9;0,0516
"209";"DEUTSCHE BOERSE";NA;"Investment Services";2015;"DAX";0,0792;0,0142;0,0651;0,1636;14,84;6e-04;0,0056;8e-04;0,247;0,81;1,48;0,52;0,3;0,0986
"210";"DEUTSCHE EUROSHOP (XET)";"DE0007480204";"Real Estate Hold, Dev";2005;"MDAX";0,4304;0,3977;0,0327;0,0777;11,29;0,784;0,0743;0;0,169;0,19;0,88;1,17;1,6;0,253
"211";"DEUTSCHE EUROSHOP (XET)";NA;"Real Estate Hold, Dev";2006;"MDAX";0,4346;0,4187;0,0159;0,2235;11,49;0,8948;0,0907;3e-04;0,1066;0,51;3,87;0,68;1,5;0,1916
"212";"DEUTSCHE EUROSHOP (XET)";NA;"Real Estate Hold, Dev";2007;"MDAX";0,4533;0,4297;0,0236;0,0272;11,52;0,9121;0,0668;0;0;0,8;3,38;-0,06;2,3;0,2236
"213";"DEUTSCHE EUROSHOP (XET)";NA;"Real Estate Hold, Dev";2008;"MDAX";0,4484;0,438;0,0103;0,1921;11,69;0,9562;0,0752;0;0,12;0,45;0,82;-0,65;2,6;-0,4072
"214";"DEUTSCHE EUROSHOP (XET)";NA;"Real Estate Hold, Dev";2009;"MDAX";0,4423;0,4361;0,0062;0,088;11,78;0,9427;0,0467;0;0,0579;0,48;-5,57;1,99;0,3;0,1979
"215";"DEUTSCHE EUROSHOP (XET)";NA;"Real Estate Hold, Dev";2010;"MDAX";0,4347;0,4141;0,0206;0,1303;11,9;0,9113;0,0547;0;0,0937;0,5;3,95;1,93;1,1;0,1606
"216";"DEUTSCHE EUROSHOP (XET)";NA;"Real Estate Hold, Dev";2011;"MDAX";0,4565;0,4142;0,0422;0,3099;12,17;0,9634;0,0688;0;0,1577;0,38;3,72;1,22;2,1;-0,1511
"217";"DEUTSCHE EUROSHOP (XET)";NA;"Real Estate Hold, Dev";2012;"MDAX";0,467;0,4123;0,0547;0,1115;12,28;0,9384;0,059;0;0;0,54;0,69;0,93;2;0,2566
"218";"DEUTSCHE EUROSHOP (XET)";NA;"Real Estate Hold, Dev";2013;"MDAX";0,4379;0,4093;0,0286;-0,1229;12,14;0,8727;0,0723;0;0,0675;0,61;0,59;1,35;1,5;0,2331
"219";"DEUTSCHE EUROSHOP (XET)";NA;"Real Estate Hold, Dev";2014;"MDAX";0,4095;0,3937;0,0158;0,0681;12,21;0,8764;0,0782;0;0,1363;0,5;1,6;0,95;0,9;0,0516
"220";"DEUTSCHE EUROSHOP (XET)";NA;"Real Estate Hold, Dev";2015;"MDAX";0,3655;0,3531;0,0124;0,0103;12,22;0,8716;0,117;0;0,1895;0,58;1,48;0,52;0,3;0,0986
"221";"DEUTSCHE POST (XET)";"DE0005552004";"Delivery Services";2005;"DAX";0,3203;0,1384;0,1819;0,033;17,61;0,0561;0,0195;0,0077;0,181;0,75;0,88;1,17;1,6;0,253
"222";"DEUTSCHE POST (XET)";NA;"Delivery Services";2006;"DAX";0,3392;0,1189;0,2203;0,3577;17,92;0,0432;0,0146;0,0079;0,1762;0,58;3,87;0,68;1,5;0,1916
"223";"DEUTSCHE POST (XET)";NA;"Delivery Services";2007;"DAX";0,3447;0,1171;0,2276;0,049;17,97;0,0373;0,0108;0,0074;0,1216;0,53;3,38;-0,06;2,3;0,2236
"224";"DEUTSCHE POST (XET)";NA;"Delivery Services";2008;"DAX";0,0156;0,0127;0,003;-0,1423;17,81;0,0255;-0,0026;0,007;0;0,67;0,82;-0,65;2,6;-0,4072
"225";"DEUTSCHE POST (XET)";NA;"Delivery Services";2009;"DAX";0,215;0,1934;0,0216;-0,1519;17,65;0,1818;0,0222;0,0396;0,0197;1,51;-5,57;1,99;0,3;0,1979
"226";"DEUTSCHE POST (XET)";NA;"Delivery Services";2010;"DAX";0,1898;0,1695;0,0202;0,1143;17,76;0,166;0,086;0,0335;0,0611;1,21;3,95;1,93;1,1;0,1606
"227";"DEUTSCHE POST (XET)";NA;"Delivery Services";2011;"DAX";0,1879;0,0364;0,1515;0,0262;17,78;0,1743;0,0542;0,0329;0,1946;0,84;3,72;1,22;2,1;-0,1511
"228";"DEUTSCHE POST (XET)";NA;"Delivery Services";2012;"DAX";0,1465;0,1343;0,0123;0,0508;17,83;0,2027;0,099;0,0399;0,1408;0,76;0,69;0,93;2;0,2566
"229";"DEUTSCHE POST (XET)";NA;"Delivery Services";2013;"DAX";0,1739;0,135;0,0389;-0,0077;17,82;0,1995;0,086;0,0382;0,1229;0,81;0,59;1,35;1,5;0,2331
"230";"DEUTSCHE POST (XET)";NA;"Delivery Services";2014;"DAX";0,1467;0,1329;0,0138;0,028;17,85;0,2037;0,077;0,0432;0,1474;1,05;1,6;0,95;0,9;0,0516
"231";"DEUTSCHE POST (XET)";NA;"Delivery Services";2015;"DAX";0,1437;0,129;0,0147;0,0459;17,9;0,2174;0,0614;0,0444;0,1534;0,92;1,48;0,52;0,3;0,0986
"232";"DEUTSCHE WOHNEN (XET) BR.SHS.";"DE000A0HN5C6";"Real Estate Hold, Dev";2005;NA;0,4689;0,4502;0,0187;0,0028;12;0,844;0,032;0,0148;0;NA;0,88;1,17;1,6;0,253
"233";"DEUTSCHE WOHNEN (XET) BR.SHS.";NA;"Real Estate Hold, Dev";2006;"SDAX";0,5229;0,5124;0,0105;-0,2862;11,66;0,8755;0,0512;0,0129;0,0032;NA;3,87;0,68;1,5;0,1916
"234";"DEUTSCHE WOHNEN (XET) BR.SHS.";NA;"Real Estate Hold, Dev";2007;"SDAX";0,6418;0,5995;0,0424;0,8536;12,28;0,9608;0,0426;5e-04;0,2458;0,93;3,38;-0,06;2,3;0,2236
"235";"DEUTSCHE WOHNEN (XET) BR.SHS.";NA;"Real Estate Hold, Dev";2008;"SDAX";0,6969;0,6646;0,0323;0,5299;12,71;0,9618;-0,0729;6e-04;0,2554;1,27;0,82;-0,65;2,6;-0,4072
"236";"DEUTSCHE WOHNEN (XET) BR.SHS.";NA;"Real Estate Hold, Dev";2009;"SDAX";0,6137;0,5777;0,036;0,0191;12,72;0,9571;0,0339;9e-04;0,1645;1,29;-5,57;1,99;0,3;0,1979
"237";"DEUTSCHE WOHNEN (XET) BR.SHS.";NA;"Real Estate Hold, Dev";2010;"MDAX";0,603;0,4524;0,1506;-0,0238;12,7;0,9588;0,0484;0,001;0,2325;0,75;3,95;1,93;1,1;0,1606
"238";"DEUTSCHE WOHNEN (XET) BR.SHS.";NA;"Real Estate Hold, Dev";2011;"MDAX";0,5664;0,5335;0,0328;0,2064;12,89;0,9099;0,0517;9e-04;0,2104;0,62;3,72;1,22;2,1;-0,1511
"239";"DEUTSCHE WOHNEN (XET) BR.SHS.";NA;"Real Estate Hold, Dev";2012;"MDAX";0,5736;0,5457;0,0278;0,1941;13,07;0,9602;0,0612;6e-04;0,2036;0,5;0,69;0,93;2;0,2566
"240";"DEUTSCHE WOHNEN (XET) BR.SHS.";NA;"Real Estate Hold, Dev";2013;"MDAX";0,5463;0,5207;0,0256;0,2757;13,31;0,9061;0,0344;6e-04;0,0153;0,71;0,59;1,35;1,5;0,2331
"241";"DEUTSCHE WOHNEN (XET) BR.SHS.";NA;"Real Estate Hold, Dev";2014;"MDAX";0,4977;0,4738;0,0239;0,5799;13,77;0,8686;0,1086;5e-04;0,1097;0,59;1,6;0,95;0,9;0,0516
"242";"DEUTSCHE WOHNEN (XET) BR.SHS.";NA;"Real Estate Hold, Dev";2015;"MDAX";0,3921;0,3871;0,005;0,4446;14,13;0,8901;0,1431;4e-04;0,3033;0,72;1,48;0,52;0,3;0,0986
"243";"DIALOG SEMICON. (XET)";"GB0059822006";"Semiconductors";2005;NA;0;0;0;0,1151;11,77;0,1523;0,0446;0,1011;0;0,71;0,88;1,17;1,6;0,253
"244";"DIALOG SEMICON. (XET)";NA;"Semiconductors";2006;NA;0;0;0;-0,4493;11,17;0,1494;-0,5041;0,132;0,0038;0,99;3,87;0,68;1,5;0,1916
"245";"DIALOG SEMICON. (XET)";NA;"Semiconductors";2007;NA;0;0;0;-0,1112;11,06;0,1467;-0,2841;0,0963;0;0,48;3,38;-0,06;2,3;0,2236
"246";"DIALOG SEMICON. (XET)";NA;"Semiconductors";2008;NA;0;0;0;0,7385;11,61;0,0963;0,0791;0,0913;0;1,16;0,82;-0,65;2,6;-0,4072
"247";"DIALOG SEMICON. (XET)";NA;"Semiconductors";2009;"TecDAX";0,0075;0,0038;0,0037;0,4167;11,96;0,0531;0,1614;0,0368;0;1,1;-5,57;1,99;0,3;0,1979
"248";"DIALOG SEMICON. (XET)";NA;"Semiconductors";2010;"TecDAX";0,0035;0,0019;0,0016;0,4402;12,32;0,0587;0,1856;0,0316;0,0402;1,62;3,95;1,93;1,1;0,1606
"249";"DIALOG SEMICON. (XET)";NA;"Semiconductors";2011;"TecDAX";0,0032;0,0011;0,002;0,679;12,84;0,0868;0,1747;0,0704;0,0902;0,89;3,72;1,22;2,1;-0,1511
"250";"DIALOG SEMICON. (XET)";NA;"Semiconductors";2012;"TecDAX";0,2578;0,2526;0,0052;0,5888;13,3;0,072;0,1353;0,0472;0,255;1,1;0,69;0,93;2;0,2566
"251";"DIALOG SEMICON. (XET)";NA;"Semiconductors";2013;"TecDAX";0,302;0,2947;0,0074;0,1327;13,43;0,0648;0,1179;0,054;0,2669;1,08;0,59;1,35;1,5;0,2331
"252";"DIALOG SEMICON. (XET)";NA;"Semiconductors";2014;"TecDAX";0,1968;0,1925;0,0043;0,2897;13,68;0,0606;0,1726;0,0498;0,1697;1,08;1,6;0,95;0,9;0,0516
"253";"DIALOG SEMICON. (XET)";NA;"Semiconductors";2015;"TecDAX";0,0068;0,0039;0,0029;0,4034;14,02;0,0543;0,2042;0,0432;0,297;0,78;1,48;0,52;0,3;0,0986
"254";"DRAEGERWERK PREF. (XET)";"DE0005550636";"Medical Equipment";2005;"TecDAX";0,2521;0,1621;0,09;0,0726;14,3;0,1419;0,0838;0,034;0,3062;0,5;0,88;1,17;1,6;0,253
"255";"DRAEGERWERK PREF. (XET)";NA;"Medical Equipment";2006;"TecDAX";0,2369;0,1379;0,0991;0,1045;14,4;0,1411;0,0938;0,0336;0,271;0,67;3,87;0,68;1,5;0,1916
"256";"DRAEGERWERK PREF. (XET)";NA;"Medical Equipment";2007;"TecDAX";0,263;0,1936;0,0693;0,0101;14,41;0,1559;0,0742;0,035;0,2633;0,88;3,38;-0,06;2,3;0,2236
"257";"DRAEGERWERK PREF. (XET)";NA;"Medical Equipment";2008;"TecDAX";0,2419;0,1856;0,0563;0,0578;14,47;0,1683;0,065;0,0362;0,2727;1,09;0,82;-0,65;2,6;-0,4072
"258";"DRAEGERWERK PREF. (XET)";NA;"Medical Equipment";2009;"TecDAX";0,2778;0,2306;0,0471;-0,007;14,46;0,1423;0,0417;0,0321;0,2251;1,19;-5,57;1,99;0,3;0,1979
"259";"DRAEGERWERK PREF. (XET)";NA;"Medical Equipment";2010;"TecDAX";0,2358;0,1874;0,0484;0,1393;14,59;0,1409;0,1005;0,0288;0,2606;1,08;3,95;1,93;1,1;0,1606
"260";"DRAEGERWERK PREF. (XET)";NA;"Medical Equipment";2011;"TecDAX";0,2403;0,1979;0,0424;0,0361;14,63;0,136;0,1049;0,0278;0,2641;0,68;3,72;1,22;2,1;-0,1511
"261";"DRAEGERWERK PREF. (XET)";NA;"Medical Equipment";2012;"TecDAX";0,2079;0,1544;0,0535;0,0522;14,68;0,1417;0,1173;0,0334;0,2663;0,3;0,69;0,93;2;0,2566
"262";"DRAEGERWERK PREF. (XET)";NA;"Medical Equipment";2013;"TecDAX";0,1752;0,1332;0,042;3e-04;14,68;0,1591;0,1005;0,0356;0,2929;0,54;0,59;1,35;1,5;0,2331
"263";"DRAEGERWERK PREF. (XET)";NA;"Medical Equipment";2014;"TecDAX";0,1454;0,0843;0,0611;0,0255;14,71;0,1655;0,0819;0,0364;0,2823;0,48;1,6;0,95;0,9;0,0516
"264";"DRAEGERWERK PREF. (XET)";NA;"Medical Equipment";2015;"TecDAX";0,1462;0,0674;0,0788;0,0716;14,77;0,1867;0,0296;0,0387;0,2518;0,83;1,48;0,52;0,3;0,0986
"265";"DRILLISCH (XET)";"DE0005545503";"Mobile Telecom.";2005;NA;0,0027;4e-04;0,0023;-0,0777;12,69;0,0168;0,2341;0,0353;0,4222;0,54;0,88;1,17;1,6;0,253
"266";"DRILLISCH (XET)";NA;"Mobile Telecom.";2006;NA;0,406;0,3436;0,0624;-0,1268;12,55;0,0081;0,1207;0,013;0,3635;0,77;3,87;0,68;1,5;0,1916
"267";"DRILLISCH (XET)";NA;"Mobile Telecom.";2007;NA;0,2328;0,1945;0,0383;0,281;12,8;0,005;0,0922;0,015;0,0956;1,33;3,38;-0,06;2,3;0,2236
"268";"DRILLISCH (XET)";NA;"Mobile Telecom.";2008;NA;0,5384;0,4231;0,1152;-0,0316;12,77;0,0096;-0,9324;0,0374;0;0,65;0,82;-0,65;2,6;-0,4072
